"","Date","Home","Away","HomeGoals","AwayGoals"
"291",2009-09-26,"RKC Waalwijk","Roda JC",4,1
"292",2009-09-26,"PSV Eindhoven","Willem II",3,1
"293",2009-09-27,"NAC Breda","Feyenoord",0,2
"294",2009-09-27,"Groningen","Vitesse",1,0
"295",2009-09-27,"Ajax","ADO Den Haag",3,0
"296",2009-09-27,"Sparta R'dam","Heerenveen",0,2
"297",2009-09-27,"NEC Nijmegen","Heracles Almelo",0,2
"298",2009-10-02,"Vitesse","Sparta R'dam",2,0
"299",2009-10-03,"AZ Alkmaar","NAC Breda",1,0
"300",2009-10-03,"Feyenoord","RKC Waalwijk",3,0
"301",2009-10-03,"ADO Den Haag","Groningen",1,1
"302",2009-10-03,"Willem II","NEC Nijmegen",1,1
"303",2009-10-04,"Heerenveen","VVV-Venlo",1,1
"304",2009-10-04,"Roda JC","Ajax",2,2
"305",2009-10-04,"Heracles Almelo","Twente",1,3
"306",2009-10-04,"Utrecht","PSV Eindhoven",0,0
"307",2010-08-06,"Roda JC","Twente",0,0
"308",2010-08-07,"NEC Nijmegen","VVV-Venlo",1,0
"309",2010-08-07,"De Graafschap","Excelsior",3,0
"310",2010-08-07,"Heerenveen","PSV Eindhoven",1,3
"311",2010-08-07,"Heracles Almelo","Willem II",3,0
"312",2010-08-08,"NAC Breda","AZ Alkmaar",1,1
"313",2010-08-08,"Feyenoord","Utrecht",3,1
"314",2010-08-08,"Groningen","Ajax",2,2
"315",2010-08-08,"Vitesse","ADO Den Haag",3,1
"316",2010-10-22,"NAC Breda","Roda JC",1,2
"317",2010-10-23,"NEC Nijmegen","Groningen",3,2
"318",2010-10-23,"De Graafschap","Heracles Almelo",1,1
"319",2010-10-23,"Heerenveen","VVV-Venlo",2,0
"320",2010-10-24,"Vitesse","Utrecht",1,4
"321",2010-10-24,"PSV Eindhoven","Feyenoord",10,0
"322",2010-10-24,"Twente","ADO Den Haag",3,2
"323",2010-10-24,"Excelsior","Ajax",2,2
"324",2010-10-24,"AZ Alkmaar","Willem II",3,0
"325",2010-10-26,"Roda JC","NEC Nijmegen",1,1
"326",2010-10-26,"Heracles Almelo","NAC Breda",4,1
"327",2010-10-27,"Willem II","Twente",1,3
"328",2010-10-27,"Feyenoord","VVV-Venlo",3,0
"329",2010-10-27,"Groningen","ADO Den Haag",3,1
"330",2010-10-27,"Ajax","Heerenveen",3,1
"331",2010-10-27,"Utrecht","Excelsior",2,0
"332",2010-10-27,"Vitesse","PSV Eindhoven",0,2
"333",2010-10-27,"De Graafschap","AZ Alkmaar",2,1
"334",2010-10-30,"PSV Eindhoven","Twente",0,1
"335",2010-10-30,"Heracles Almelo","Ajax",1,4
"336",2010-10-30,"Excelsior","Heerenveen",0,2
"337",2010-10-30,"NAC Breda","De Graafschap",2,0
"338",2010-10-30,"VVV-Venlo","Groningen",3,5
"339",2010-10-31,"NEC Nijmegen","Vitesse",0,0
"340",2010-10-31,"ADO Den Haag","Utrecht",1,0
"341",2010-10-31,"AZ Alkmaar","Feyenoord",2,1
"342",2010-10-31,"Roda JC","Willem II",2,2
"343",2010-11-05,"Willem II","VVV-Venlo",1,4
"344",2010-11-06,"Groningen","NAC Breda",2,1
"345",2010-11-06,"Twente","Excelsior",2,1
"346",2010-11-06,"Heerenveen","Heracles Almelo",3,2
"347",2010-11-06,"De Graafschap","NEC Nijmegen",1,4
"348",2010-11-07,"Vitesse","AZ Alkmaar",1,1
"349",2010-11-07,"Ajax","ADO Den Haag",0,1
"350",2010-11-07,"Feyenoord","Roda JC",1,1
"351",2010-11-07,"Utrecht","PSV Eindhoven",1,2
"352",2010-11-13,"PSV Eindhoven","Excelsior",4,2
"353",2010-11-13,"NAC Breda","Twente",2,1
"354",2010-11-14,"Heracles Almelo","Groningen",3,0
"355",2010-11-14,"Feyenoord","Heerenveen",2,2
"356",2010-11-14,"VVV-Venlo","Vitesse",1,5
"357",2010-11-14,"NEC Nijmegen","ADO Den Haag",1,1
"358",2010-11-14,"AZ Alkmaar","Ajax",2,0
"359",2010-11-24,"Willem II","De Graafschap",0,1
"360",2010-11-24,"Roda JC","Utrecht",1,1
"361",2010-11-20,"Excelsior","VVV-Venlo",1,0
"362",2010-11-20,"Twente","AZ Alkmaar",1,2
"363",2010-11-20,"De Graafschap","Roda JC",3,1
"364",2010-11-20,"Vitesse","Heracles Almelo",2,0
"365",2010-11-20,"Ajax","PSV Eindhoven",0,0
"366",2010-11-21,"Groningen","Feyenoord",2,0
"367",2010-11-21,"Utrecht","NEC Nijmegen",4,0
"368",2010-11-21,"Heerenveen","Willem II",5,0
"369",2010-11-21,"ADO Den Haag","NAC Breda",3,0
