"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Away","AwayGoals","Attendance","Venue","Referee","Notes","MatchURL","Home_xG","Away_xG"
"81","Serie A","M","ITA",2013,NA,"17","Sat",2012-12-15,NA,"Lazio",1,"Inter",0,NA,NA,"Paolo Mazzoleni","","https://fbref.com/en/matches/9fe01562/Lazio-Internazionale-December-15-2012-Serie-A",NA,NA
"82","Serie A","M","ITA",2013,NA,"17","Sat",2012-12-15,NA,"Udinese",1,"Palermo",1,NA,NA,"Sebastiano Peruzzo","","https://fbref.com/en/matches/59b461a2/Udinese-Palermo-December-15-2012-Serie-A",NA,NA
"83","Serie A","M","ITA",2013,NA,"17","Sun",2012-12-16,NA,"Juventus",3,"Atalanta",0,NA,NA,"Davide Massa","","https://fbref.com/en/matches/171ce3d9/Juventus-Atalanta-December-16-2012-Serie-A",NA,NA
"84","Serie A","M","ITA",2013,NA,"17","Sun",2012-12-16,NA,"Fiorentina",4,"Siena",1,NA,NA,"Paolo Tagliavento","","https://fbref.com/en/matches/54215349/Fiorentina-Siena-December-16-2012-Serie-A",NA,NA
"85","Serie A","M","ITA",2013,NA,"17","Sun",2012-12-16,NA,"Genoa",1,"Torino",1,NA,NA,"Daniele Orsato","","https://fbref.com/en/matches/94a1fda6/Genoa-Torino-December-16-2012-Serie-A",NA,NA
"86","Serie A","M","ITA",2013,NA,"17","Sun",2012-12-16,NA,"Parma",4,"Cagliari",1,NA,NA,"Emilio Ostinelli","","https://fbref.com/en/matches/ca35af3e/Parma-Cagliari-December-16-2012-Serie-A",NA,NA
"87","Serie A","M","ITA",2013,NA,"17","Sun",2012-12-16,NA,"Catania",3,"Sampdoria",1,NA,NA,"Piero Giacomelli","","https://fbref.com/en/matches/d4f2d951/Catania-Sampdoria-December-16-2012-Serie-A",NA,NA
"88","Serie A","M","ITA",2013,NA,"17","Sun",2012-12-16,NA,"Napoli",2,"Bologna",3,NA,NA,"Paolo Valeri","","https://fbref.com/en/matches/771c64f9/Napoli-Bologna-December-16-2012-Serie-A",NA,NA
"89","Serie A","M","ITA",2013,NA,"17","Sun",2012-12-16,NA,"Milan",4,"Pescara",1,NA,NA,"Antonio Giannoccaro","","https://fbref.com/en/matches/9106fde4/Milan-Pescara-December-16-2012-Serie-A",NA,NA
"90","Serie A","M","ITA",2013,NA,"17","Sun",2012-12-16,NA,"Chievo",1,"Roma",0,NA,NA,"Mauro Bergonzi","","https://fbref.com/en/matches/d3df9c3a/Chievo-Roma-December-16-2012-Serie-A",NA,NA
"91","Serie A","M","ITA",2013,NA,"18","Fri",2012-12-21,NA,"Cagliari",1,"Juventus",3,NA,NA,"Antonio Damato","","https://fbref.com/en/matches/4bea19ee/Cagliari-Juventus-December-21-2012-Serie-A",NA,NA
"92","Serie A","M","ITA",2013,NA,"18","Fri",2012-12-21,NA,"Pescara",2,"Catania",1,NA,NA,"Andrea Romeo","","https://fbref.com/en/matches/955b70fb/Pescara-Catania-December-21-2012-Serie-A",NA,NA
"93","Serie A","M","ITA",2013,NA,"18","Sat",2012-12-22,NA,"Inter",1,"Genoa",1,NA,NA,"Andrea Gervasoni","","https://fbref.com/en/matches/f3124a78/Internazionale-Genoa-December-22-2012-Serie-A",NA,NA
"94","Serie A","M","ITA",2013,NA,"18","Sat",2012-12-22,NA,"Sampdoria",0,"Lazio",1,NA,NA,"Nicola Rizzoli","","https://fbref.com/en/matches/81a33fc2/Sampdoria-Lazio-December-22-2012-Serie-A",NA,NA
"95","Serie A","M","ITA",2013,NA,"18","Sat",2012-12-22,NA,"Bologna",1,"Parma",2,NA,NA,"Carmine Russo","","https://fbref.com/en/matches/ef992084/Bologna-Parma-December-22-2012-Serie-A",NA,NA
"96","Serie A","M","ITA",2013,NA,"18","Sat",2012-12-22,NA,"Siena",0,"Napoli",2,NA,NA,"Andrea De Marco","","https://fbref.com/en/matches/6cce6064/Siena-Napoli-December-22-2012-Serie-A",NA,NA
"97","Serie A","M","ITA",2013,NA,"18","Sat",2012-12-22,NA,"Atalanta",1,"Udinese",1,NA,NA,"Marco Guida","","https://fbref.com/en/matches/1b3827e8/Atalanta-Udinese-December-22-2012-Serie-A",NA,NA
"98","Serie A","M","ITA",2013,NA,"18","Sat",2012-12-22,NA,"Roma",4,"Milan",2,NA,NA,"Gianluca Rocchi","","https://fbref.com/en/matches/f6f1b718/Roma-Milan-December-22-2012-Serie-A",NA,NA
"99","Serie A","M","ITA",2013,NA,"18","Sat",2012-12-22,NA,"Palermo",0,"Fiorentina",3,NA,NA,"Domenico Celi","","https://fbref.com/en/matches/c3b4839b/Palermo-Fiorentina-December-22-2012-Serie-A",NA,NA
"100","Serie A","M","ITA",2013,NA,"18","Sat",2012-12-22,NA,"Torino",2,"Chievo",0,NA,NA,"Luca Banti","","https://fbref.com/en/matches/ab3e3b1f/Torino-Chievo-December-22-2012-Serie-A",NA,NA
"101","Serie A","M","ITA",2013,NA,"19","Sat",2013-01-05,NA,"Lazio",2,"Cagliari",1,NA,NA,"Daniele Orsato","","https://fbref.com/en/matches/8c039fe8/Lazio-Cagliari-January-5-2013-Serie-A",NA,NA
"102","Serie A","M","ITA",2013,NA,"19","Sat",2013-01-05,NA,"Catania",0,"Torino",0,NA,NA,"Mauro Bergonzi","","https://fbref.com/en/matches/423ab067/Catania-Torino-January-5-2013-Serie-A",NA,NA
"103","Serie A","M","ITA",2013,NA,"19","Sun",2013-01-06,NA,"Genoa",2,"Bologna",0,NA,NA,"Luca Banti","","https://fbref.com/en/matches/09cc3a90/Genoa-Bologna-January-6-2013-Serie-A",NA,NA
"104","Serie A","M","ITA",2013,NA,"19","Sun",2013-01-06,NA,"Milan",2,"Siena",1,NA,NA,"Gianpaolo Calvarese","","https://fbref.com/en/matches/5f4c6c2f/Milan-Siena-January-6-2013-Serie-A",NA,NA
"105","Serie A","M","ITA",2013,NA,"19","Sun",2013-01-06,NA,"Udinese",3,"Inter",0,NA,NA,"Antonio Giannoccaro","","https://fbref.com/en/matches/54e67a2e/Udinese-Internazionale-January-6-2013-Serie-A",NA,NA
"106","Serie A","M","ITA",2013,NA,"19","Sun",2013-01-06,NA,"Fiorentina",0,"Pescara",2,NA,NA,"Piero Giacomelli","","https://fbref.com/en/matches/118b6f89/Fiorentina-Pescara-January-6-2013-Serie-A",NA,NA
"107","Serie A","M","ITA",2013,NA,"19","Sun",2013-01-06,NA,"Juventus",1,"Sampdoria",2,NA,NA,"Paolo Valeri","","https://fbref.com/en/matches/92aa0283/Juventus-Sampdoria-January-6-2013-Serie-A",NA,NA
"108","Serie A","M","ITA",2013,NA,"19","Sun",2013-01-06,NA,"Chievo",1,"Atalanta",0,NA,NA,"Maurizio Mariani","","https://fbref.com/en/matches/6485d7b5/Chievo-Atalanta-January-6-2013-Serie-A",NA,NA
"109","Serie A","M","ITA",2013,NA,"19","Sun",2013-01-06,NA,"Napoli",4,"Roma",1,NA,NA,"Paolo Tagliavento","","https://fbref.com/en/matches/ac780054/Napoli-Roma-January-6-2013-Serie-A",NA,NA
"110","Serie A","M","ITA",2013,NA,"19","Sun",2013-01-06,NA,"Parma",2,"Palermo",1,NA,NA,"Daniele Doveri","","https://fbref.com/en/matches/5628080a/Parma-Palermo-January-6-2013-Serie-A",NA,NA
"111","Serie A","M","ITA",2013,NA,"2","Sat",2012-09-01,NA,"Bologna",1,"Milan",3,NA,NA,"Paolo Tagliavento","","https://fbref.com/en/matches/a6084667/Bologna-Milan-September-1-2012-Serie-A",NA,NA
"112","Serie A","M","ITA",2013,NA,"2","Sat",2012-09-01,NA,"Torino",3,"Pescara",0,NA,NA,"Carmine Russo","","https://fbref.com/en/matches/3c291387/Torino-Pescara-September-1-2012-Serie-A",NA,NA
"113","Serie A","M","ITA",2013,NA,"2","Sun",2012-09-02,NA,"Parma",2,"Chievo",0,NA,NA,"Davide Massa","","https://fbref.com/en/matches/db90051a/Parma-Chievo-September-2-2012-Serie-A",NA,NA
