,Unnamed: 0,Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Away,AwayGoals,Attendance,Venue,Referee,Notes,MatchURL,Home_xG,Away_xG,advanced_match_stats_path,Home_Formation,Away_Formation,advanced_stat_needed
382,383,Fußball-Bundesliga,M,GER,2011,,17.0,Sat,2010-12-18,,St. Pauli,2,Mainz 05,4,,,Peter Sippel,,https://fbref.com/en/matches/b985f856/St-Pauli-Mainz-05-December-18-2010-Bundesliga,,,St-Pauli-Mainz-05-December-18-2010-Bundesliga,4-2-2-2,4-1-2-1-2,0.0
383,384,Fußball-Bundesliga,M,GER,2011,,17.0,Sat,2010-12-18,,Werder Bremen,1,Kaiserslautern,2,,,Michael Weiner,,https://fbref.com/en/matches/d17ba00e/Werder-Bremen-Kaiserslautern-December-18-2010-Bundesliga,,,Werder-Bremen-Kaiserslautern-December-18-2010-Bundesliga,4-2-3-1,4-1-4-1,0.0
384,385,Fußball-Bundesliga,M,GER,2011,,17.0,Sat,2010-12-18,,Eint Frankfurt,1,Dortmund,0,,,Deniz Aytekin,,https://fbref.com/en/matches/fc71042c/Eintracht-Frankfurt-Dortmund-December-18-2010-Bundesliga,,,Eintracht-Frankfurt-Dortmund-December-18-2010-Bundesliga,4-1-4-1,4-2-3-1,0.0
385,386,Fußball-Bundesliga,M,GER,2011,,17.0,Sun,2010-12-19,,Leverkusen,2,Freiburg,2,,,Marc Seemann,,https://fbref.com/en/matches/ee51f890/Bayer-Leverkusen-Freiburg-December-19-2010-Bundesliga,,,Bayer-Leverkusen-Freiburg-December-19-2010-Bundesliga,4-2-3-1,4-1-4-1,0.0
386,387,Fußball-Bundesliga,M,GER,2011,,17.0,Sun,2010-12-19,,Stuttgart,3,Bayern Munich,5,,,Thorsten Kinhöfer,,https://fbref.com/en/matches/f010e0ea/Stuttgart-Bayern-Munich-December-19-2010-Bundesliga,,,Stuttgart-Bayern-Munich-December-19-2010-Bundesliga,4-4-2,4-2-3-1,0.0
387,388,Fußball-Bundesliga,M,GER,2011,,18.0,Fri,2011-01-14,,Leverkusen,1,Dortmund,3,,,Peter Gagelmann,,https://fbref.com/en/matches/d6be580b/Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga,,,Bayer-Leverkusen-Dortmund-January-14-2011-Bundesliga,4-4-2,4-2-3-1,0.0
388,389,Fußball-Bundesliga,M,GER,2011,,18.0,Sat,2011-01-15,,Stuttgart,1,Mainz 05,0,,,Michael Weiner,,https://fbref.com/en/matches/0c94ac72/Stuttgart-Mainz-05-January-15-2011-Bundesliga,,,Stuttgart-Mainz-05-January-15-2011-Bundesliga,4-4-2,4-3-2-1,0.0
389,390,Fußball-Bundesliga,M,GER,2011,,18.0,Sat,2011-01-15,,Wolfsburg,1,Bayern Munich,1,,,Manuel Gräfe,,https://fbref.com/en/matches/15ba42f4/Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga,,,Wolfsburg-Bayern-Munich-January-15-2011-Bundesliga,4-2-3-1,4-2-3-1,0.0
390,391,Fußball-Bundesliga,M,GER,2011,,18.0,Sat,2011-01-15,,Nürnberg,0,M'Gladbach,1,,,Babak Rafati,,https://fbref.com/en/matches/165af43e/Nurnberg-Monchengladbach-January-15-2011-Bundesliga,,,Nurnberg-Monchengladbach-January-15-2011-Bundesliga,4-2-3-1,4-4-1-1,0.0
391,392,Fußball-Bundesliga,M,GER,2011,,18.0,Sat,2011-01-15,,Werder Bremen,2,Hoffenheim,1,,,Felix Zwayer,,https://fbref.com/en/matches/59e528fd/Werder-Bremen-Hoffenheim-January-15-2011-Bundesliga,,,Werder-Bremen-Hoffenheim-January-15-2011-Bundesliga,4-1-2-1-2,4-3-3,0.0
